City,Customer type,Gender,Product line,Quantity,Sales,Payment,Rating
Yangon,Member,Female,Health and beauty,7,548.9715,Ewallet,9.1
Naypyitaw,Normal,Female,Electronic accessories,5,80.22,Cash,9.6
Yangon,Normal,Female,Home and lifestyle,7,340.5255,Credit card,7.4
Yangon,Member,Female,Health and beauty,8,489.048,Ewallet,8.4
Yangon,Member,Female,Sports and travel,7,634.3785,Ewallet,5.3
Naypyitaw,Member,Female,Electronic accessories,7,627.6165,Ewallet,4.1
Yangon,Member,Female,Electronic accessories,6,433.692,Ewallet,5.8
Naypyitaw,Member,Female,Home and lifestyle,10,772.38,Ewallet,8
Yangon,Member,Female,Health and beauty,2,76.146,Credit card,7.2
Mandalay,Member,Female,Food and beverages,3,172.746,Credit card,5.9
Mandalay,Member,Female,Fashion accessories,4,60.816,Ewallet,4.5
Mandalay,Member,Female,Electronic accessories,4,107.142,Cash,6.8
Yangon,Member,Female,Electronic accessories,5,246.4875,Ewallet,7.1
Yangon,Member,Female,Food and beverages,10,453.495,Ewallet,8.2
Yangon,Member,Female,Health and beauty,10,749.49,Cash,5.7
Mandalay,Member,Female,Sports and travel,6,590.436,Cash,4.5
Yangon,Member,Female,Health and beauty,7,506.6355,Credit card,4.6
Yangon,Member,Female,Sports and travel,6,457.443,Credit card,6.9
Yangon,Member,Female,Food and beverages,3,172.2105,Credit card,8.6
Mandalay,Member,Female,Home and lifestyle,2,84.63,Ewallet,4.4
Naypyitaw,Member,Female,Electronic accessories,5,451.71,Ewallet,4.8
Mandalay,Member,Female,Health and beauty,3,277.137,Ewallet,5.1
Mandalay,Member,Female,Home and lifestyle,2,69.72,Credit card,4.4
Yangon,Member,Female,Electronic accessories,5,181.44,Ewallet,9.9
Yangon,Member,Female,Sports and travel,3,279.1845,Ewallet,6
Yangon,Member,Female,Home and lifestyle,8,441.756,Credit card,8.5
Mandalay,Member,Female,Fashion accessories,1,35.196,Cash,6.7
Yangon,Member,Female,Fashion accessories,2,184.107,Credit card,7.7
Mandalay,Member,Female,Food and beverages,5,463.89,Cash,9.6
Yangon,Member,Female,Health and beauty,9,235.2105,Cash,7.4
Mandalay,Member,Female,Fashion accessories,5,494.1825,Credit card,4.8
Mandalay,Member,Female,Sports and travel,9,737.7615,Cash,4.5
Mandalay,Member,Female,Sports and travel,8,703.752,Cash,5.1
Yangon,Member,Female,Health and beauty,2,202.818,Credit card,5.1
Naypyitaw,Member,Female,Food and beverages,4,417.564,Ewallet,7.5
Naypyitaw,Member,Female,Sports and travel,1,71.526,Ewallet,6.8
Yangon,Member,Female,Sports and travel,5,328.755,Ewallet,7
Yangon,Member,Female,Electronic accessories,9,575.316,Ewallet,4.7
Naypyitaw,Member,Female,Health and beauty,8,461.328,Ewallet,7.6
Mandalay,Member,Female,Home and lifestyle,8,253.008,Cash,7.7
Mandalay,Member,Female,Home and lifestyle,1,91.056,Ewallet,7.9
Naypyitaw,Member,Female,Home and lifestyle,2,117.831,Cash,6.3
Mandalay,Member,Female,Sports and travel,6,435.456,Cash,5.6
Naypyitaw,Member,Female,Food and beverages,8,829.08,Cash,7.6
Naypyitaw,Member,Female,Health and beauty,2,32.277,Cash,7.2
Mandalay,Member,Female,Electronic accessories,4,394.632,Cash,9.5
Mandalay,Member,Female,Health and beauty,9,535.7205,Credit card,8.4
Mandalay,Member,Female,Food and beverages,9,189.0945,Ewallet,4.1
Mandalay,Member,Female,Electronic accessories,6,119.259,Credit card,8.1
Naypyitaw,Member,Female,Fashion accessories,10,867.615,Ewallet,7.9
Naypyitaw,Member,Female,Food and beverages,7,671.79,Cash,9.5
Yangon,Member,Female,Food and beverages,5,234.0975,Cash,8.5
Mandalay,Member,Female,Fashion accessories,4,75.054,Ewallet,6.5
Naypyitaw,Member,Female,Fashion accessories,1,16.2015,Credit card,6.1
Mandalay,Member,Female,Home and lifestyle,2,33.936,Ewallet,6.5
Naypyitaw,Member,Female,Electronic accessories,8,722.232,Cash,8.2
Yangon,Member,Female,Home and lifestyle,2,93.114,Cash,5.8
Yangon,Member,Female,Health and beauty,8,752.64,Ewallet,6.6
Yangon,Member,Female,Home and lifestyle,10,759.675,Cash,5.4
Naypyitaw,Member,Female,Electronic accessories,6,192.843,Cash,9.3
Naypyitaw,Member,Female,Sports and travel,3,77.931,Credit card,10
Naypyitaw,Member,Female,Home and lifestyle,6,351.099,Ewallet,7
Mandalay,Member,Female,Sports and travel,9,520.4115,Ewallet,10
Yangon,Member,Female,Sports and travel,10,166.005,Credit card,8.6
Mandalay,Member,Female,Health and beauty,4,318.108,Cash,7.6
Yangon,Member,Female,Health and beauty,10,166.635,Cash,5.8
Naypyitaw,Member,Female,Health and beauty,2,70.287,Ewallet,6.7
Mandalay,Member,Female,Fashion accessories,6,614.943,Ewallet,9.9
Yangon,Member,Female,Sports and travel,10,827.085,Cash,6.4
Yangon,Member,Female,Health and beauty,1,19.2465,Cash,4.3
Naypyitaw,Member,Female,Food and beverages,10,939.54,Credit card,9.6
Naypyitaw,Member,Female,Fashion accessories,10,652.26,Cash,5.9
Mandalay,Member,Female,Food and beverages,3,152.838,Ewallet,4
Naypyitaw,Member,Female,Electronic accessories,6,478.233,Cash,8.7
Yangon,Member,Female,Home and lifestyle,9,705.6315,Ewallet,9.4
Naypyitaw,Member,Female,Electronic accessories,10,437.325,Credit card,5.4
Naypyitaw,Member,Female,Fashion accessories,9,463.428,Credit card,8.6
Yangon,Member,Female,Fashion accessories,9,189.0945,Credit card,5.7
Naypyitaw,Member,Female,Food and beverages,10,822.255,Ewallet,6.6
Naypyitaw,Member,Female,Health and beauty,5,106.995,Cash,6
Naypyitaw,Member,Female,Health and beauty,6,624.897,Credit card,5.5
Mandalay,Member,Female,Food and beverages,3,304.542,Ewallet,6.4
Naypyitaw,Member,Female,Food and beverages,8,161.7,Ewallet,6.6
Naypyitaw,Member,Female,Food and beverages,4,337.512,Credit card,8.3
Naypyitaw,Member,Female,Sports and travel,5,256.7775,Cash,6.6
Naypyitaw,Member,Female,Sports and travel,7,610.491,Ewallet,4
Naypyitaw,Member,Female,Fashion accessories,5,401.73,Cash,9.9
Yangon,Member,Female,Food and beverages,7,362.943,Credit card,7.3
Yangon,Member,Female,Sports and travel,1,44.5935,Cash,5.7
Mandalay,Member,Female,Health and beauty,6,485.037,Cash,6.1
Naypyitaw,Member,Female,Home and lifestyle,4,198.996,Cash,7.1
Naypyitaw,Member,Female,Sports and travel,10,471.03,Ewallet,8.2
Yangon,Member,Female,Sports and travel,7,161.553,Ewallet,5.1
Mandalay,Member,Female,Health and beauty,9,608.202,Credit card,8.6
Naypyitaw,Member,Female,Health and beauty,1,94.2375,Credit card,6.6
Yangon,Member,Female,Electronic accessories,1,102.018,Ewallet,7.2
Mandalay,Member,Female,Health and beauty,10,922.635,Ewallet,5.1
Naypyitaw,Member,Female,Electronic accessories,6,78.435,Cash,4.1
